,name,top1,top5
1547,"(0,1,4,6,7,9,10,13)",0.67472,0.8753
1548,"(0,2,3,5,6,7,9,10,11,12,13)",0.67608,0.87678
1549,"(0,1,2,3,6,7,9,11)",0.67408,0.87482
1550,"(6,7,10,11,12,14)",0.68328,0.88072
1551,"(2,3,5,8,9,10,12,13)",0.68336,0.8803
1552,"(0,1,2,3,4,6,8,14)",0.67388,0.87556
1553,"(3,6,7,9,13,14)",0.68236,0.88204
1554,"(0,2,4,6,7,8,9)",0.67746,0.8778
1555,"(0,3,5,6,7,9,11,12)",0.67852,0.87762
1556,"(2,3,4,5,6,7,8,14)",0.683,0.88122
1557,"(1,2,3,4,5,7,10,13)",0.68188,0.8805
1558,"(5,6,7,10,11,14)",0.68344,0.88162
1559,"(1,5,6,8,9,11,12,14)",0.68332,0.88156
1560,"(1,2,3,4,5,6)",0.68076,0.88102
1561,"(1,2,4,5,6,10,11)",0.68134,0.88046
1562,"(1,2,3,6,8,10,11,12,13,14)",0.6821,0.87932
1563,"(0,1,4,7,11)",0.67626,0.87656
1564,"(0,3,6,10,11,12,13)",0.67832,0.87764
1565,"(0,6,7,11,12)",0.67964,0.87872
1566,"(2,3,5,6,9,11,14)",0.68242,0.88142
1567,"(0,4,5,7,13)",0.67942,0.8787
1568,"(0,5,6,8,9,11,13,14)",0.6786,0.87884
1569,"(6,8,10,12,13,14)",0.68282,0.88054
1570,"(0,1,3,6,8,11)",0.67666,0.87696
1571,"(0,1,3,5,9,10,12,13)",0.6755,0.87544
1572,"(0,2,3,8,9,11,12,13)",0.67786,0.87668
1573,"(0,1,3,4,5,7,8,11)",0.67616,0.87626
1574,"(2,4,5,6,8,10,12)",0.68308,0.87996
1575,"(0,1,2,3,5,8,9,10,11,12)",0.67502,0.87492
1576,"(0,1,2,3,4,5,8,12,14)",0.67418,0.8755
1577,"(0,2,3,5,6,7,8,9,12,13,14)",0.67648,0.8765
1578,"(0,4)",0.67966,0.87942
1579,"(0,2,6,7,10,12,14)",0.67758,0.877
1580,"(0,1,2,3,4,6,7,9,10,12,13)",0.6713,0.87384
1581,"(1,3,5,7,8,10,12)",0.6826,0.88062
1582,"(0,1,2,4,5,8,9,12,13)",0.67492,0.8753
1583,"(0,3,4,9,10,11,14)",0.67814,0.87822
1584,"(0,1,2,3,8,10,11,13)",0.67526,0.87568
1585,"(0,2,3,6,9,10,11,12,13,14)",0.67586,0.87634
1586,"(0,1,7,8,11,12,14)",0.67642,0.87684
1587,"(0,1,2,3,4,6,9,10,12,13)",0.67222,0.87392
1588,"(1,8,9,13)",0.68288,0.88168
1589,"(1,2,3,5,11,12)",0.68254,0.88058
1590,"(0,8,9,11,13,14)",0.67958,0.87884
1591,"(1,4,5,7,8,10,14)",0.68156,0.88108
1592,"(0,1,3,4,5,6,8,9,13,14)",0.67528,0.87612
1593,"(2,5,6,7,9,12,13,14)",0.68288,0.88002
1594,"(0,1,2,3,5,6,10,14)",0.6746,0.87542
1595,"(0,1,2,3,4,6,7,9,13)",0.6729,0.87516
1596,"(0,1,5,6,7,8,9,10,11,12,14)",0.67606,0.87574
1597,"(0,1,2,3,8,10,12,13)",0.67398,0.87558
1598,"(0,2,7,11,14)",0.67794,0.87792
1599,"(6,7,9,10,11,12)",0.68316,0.88084
1600,"(1,4,5,7,10,11,12,13,14)",0.68244,0.87998
1601,"(3,4,6,10,11,13,14)",0.68252,0.88128
1602,"(0,1,5,7,9,10,12)",0.67656,0.87538
1603,"(0,3,9,11,12,13)",0.67848,0.87812
1604,"(0,3,10,11,12)",0.67856,0.87816
1605,"(0,4,5,8,10,12,13,14)",0.67818,0.8783
1606,"(1,3,4,9,10)",0.68224,0.88046
1607,"(1,3,5,6,7,8,11)",0.68226,0.88112
1608,"(0,2,3,4,6,7,8,11,13,14)",0.6771,0.87792
1609,"(1,3,5,7,8,12)",0.682,0.88148
1610,"(1,3,5,6,7,8,11,12,13)",0.68246,0.88074
1611,"(0,1,7,10,13,14)",0.67638,0.8764
1612,"(0,1,2,3,5,8,9)",0.67492,0.87604
1613,"(0,1,7,8,9,10,14)",0.67594,0.87638
1614,"(0,3,4,7,9,10,11,12,13,14)",0.6778,0.87732
1615,"(2,4,7,8,9,10,11,12)",0.68328,0.88044
1616,"(1,7,8,10,13,14)",0.68334,0.88084
1617,"(0,1,2,3,4,9,10,11,13)",0.67384,0.87438
1618,"(3,4,5,13,14)",0.6823,0.88162
1619,"(0,1,3,4,5,6,10,12,13)",0.67446,0.87536
1620,"(0,1,2,3,7,8,10,11)",0.67534,0.87558
1621,"(0,1,2,4,10,12,14)",0.67346,0.87506
1622,"(3,5,6,8,9,12,13,14)",0.68308,0.88132
1623,"(3,4,6,7,9,10,11,14)",0.682,0.88052
1624,"(2,5,6,9,14)",0.68396,0.88136
1625,"(0,1,2,3,10,12,13)",0.67374,0.87546
1626,"(0,1,3,4,5,7,9,10,11,13)",0.6748,0.8752
1627,"(1,11,14)",0.68334,0.88198
1628,"(0,1,3,5,6,11,12)",0.67614,0.87668
1629,"(1,4,8,10,11)",0.68276,0.8809
1630,"(0,2,3,4,7,10,11,12)",0.67724,0.87722
1631,"(0,1,2,4,5,9,10,11)",0.6748,0.8749
1632,"(3,5,7,8,9,10,14)",0.68304,0.88146
1633,"(2,3,4,5,6,9,10,11,12)",0.68278,0.88004
1634,"(0,1,2,4,7,12,13,14)",0.67416,0.87464
1635,"(3,4,6,7,9,10,12,13,14)",0.68242,0.88012
1636,"(0,1,2,4,5,7,9,10,12,14)",0.6743,0.87408
1637,"(0,2,3,4,6,7,13)",0.67618,0.87734
1638,"(1,3,4,6,7,8,11)",0.68134,0.88112
1639,"(0,1,2,4,6,7,8,9,10,11,12)",0.67376,0.87444
1640,"(0,2,5,7,9,10)",0.67894,0.877
1641,"(1,2,4,7,11,12)",0.68248,0.88042
1642,"(0,4,6,8,11,12,13,14)",0.67804,0.879
1643,"(0,2,3,4,5,6,9,12,14)",0.67622,0.87628
1644,"(0,1,5,6,8,10,11,12,14)",0.67704,0.87626
1645,"(3,8,9)",0.68336,0.8822
1646,"(0,2,4,5,6,7,11,13)",0.6767,0.87824
1647,"(0,2,5,7,8,11,12,14)",0.6779,0.87812
1648,"(0,6,10,11,12,13,14)",0.6789,0.87876
1649,"(1,4,5,8,12,13)",0.6825,0.88128
1650,"(1,2,4,5,14)",0.68228,0.88108
1651,"(0,4,12,14)",0.67914,0.8785
1652,"(1,2,3,4,6,7,8,9,11,12,13)",0.68062,0.88056
1653,"(2,3,5,6,7,8,9,13,14)",0.68254,0.88058
1654,"(1,3,4,6,7,11,13,14)",0.6813,0.88082
1655,"(0,1,6,8,11)",0.67716,0.87748
1656,"(0,2,6,7,11,13)",0.67796,0.87764
1657,"(0,1,2,6,8,10,11,12)",0.67514,0.87574
1658,"(0,2,4,6,9,10,13)",0.67698,0.8773
1659,"(2,3,4,7,9,11,12)",0.68314,0.88058
1660,"(0,5,6,7,8,9,10,11,12,13)",0.67878,0.87772
1661,"(0,1,4,5,7,9,11,14)",0.67594,0.87592
1662,"(0,7,8,13)",0.67946,0.87904
1663,"(3,4,5,6,13)",0.68286,0.88176
1664,"(0,1,2,3,5,8,11,13,14)",0.6752,0.87584
1665,"(1,5,6,7,8,9,10,11,13,14)",0.6822,0.88054
1666,"(0,1,3,4,5,7,9,10,12,14)",0.67488,0.87534
1667,"(1,7,12)",0.68298,0.8811
1668,"(0,2,3,4,7,8,9,13,14)",0.67712,0.87724
1669,"(0,6,7,8,10,11)",0.6798,0.8785
1670,"(5,6,7,8,11,12)",0.68476,0.88166
1671,"(0,1,2,4,5,8,9,10,11)",0.67526,0.87522
1672,"(0,2,7,9,12)",0.67798,0.87696
1673,"(5,8,13,14)",0.68346,0.88214
1674,"(10,12,13,14)",0.68354,0.88176
1675,"(0,1,6,12,13,14)",0.6762,0.87622
1676,"(0,3,4,5,6,9,10,12,13,14)",0.67704,0.87676
1677,"(1,2,7,11,13,14)",0.68268,0.88114
1678,"(0,1,3,7,11,14)",0.67588,0.87686
1679,"(1,2,3,4,5,10,12,14)",0.68106,0.88016
1680,"(0,1,3,6,7,8,9,10,11,13)",0.6756,0.8756
1681,"(1,5,6,7,8,9,10,11,12,14)",0.68242,0.88008
1682,"(1,5,6,7,8,9,10,11,14)",0.6827,0.8811
1683,"(2,3,4,6,7,8,9,10,11,12)",0.6824,0.87994
1684,"(2,4,5,6,7,10,13)",0.68308,0.88032
1685,"(0,1,2,3,4,5,8,11,12)",0.67488,0.87556
1686,"(0,1,5,6,7,8,9,13,14)",0.67622,0.8765
1687,"(0,1,2,3,4,5,7,9,10,11,12,13)",0.6736,0.87418
1688,"(1,2,5,6,7,8,9,12,13,14)",0.68166,0.88018
1689,"(0,1,3,4,7,8,9,10)",0.67534,0.87596
1690,"(0,4,6,7,8,9,13)",0.6782,0.87836
1691,"(4,6,7,8,9,10,13,14)",0.6825,0.88102
1692,"(1,2,6,7,8,9,10,11,12,14)",0.6821,0.87946
1693,"(3,5,6,8,11,13)",0.68288,0.8823
1694,"(0,1,6,7,8,10,12,13)",0.67618,0.87624
1695,"(0,2,3,4,5,7,9,10)",0.67734,0.87662
1696,"(1,2,6,8,9,10,11,12,14)",0.68262,0.87948
1697,"(0,1,3,4,5,9,12,13,14)",0.67476,0.8756
1698,"(0,1,4,6,9,14)",0.67552,0.87636
1699,"(1,2,3,4,5,7,8,10,12,14)",0.6811,0.8801
1700,"(0,1,5,6,7,9,10,12,14)",0.67562,0.8755
1701,"(0,3,4,5,6,8,10,14)",0.67812,0.87856
1702,"(6,8,9,10,11,12,14)",0.68364,0.88126
1703,"(1,3,4,5,6,7,9,11,12,14)",0.68166,0.88062
1704,"(1,2,3,5,8,10,13,14)",0.6816,0.88084
1705,"(2,3,5,8,11,13)",0.68328,0.88172
1706,"(2,3,5,6,8,11,12,13)",0.68314,0.88088
1707,"(0,2,3,4,5,6,7,8,9,10,11)",0.67774,0.87674
1708,"(1,2,4,5,11,12,13,14)",0.68202,0.88024
1709,"(2,4,6,7,8,10,11,14)",0.68294,0.8811
1710,"(0,2,3,5,7,9,11,12)",0.67736,0.87702
1711,"(2,3,5,6,8,10)",0.68386,0.8817
1712,"(0,1,3,5,8,9,10,11)",0.67646,0.87646
1713,"(6,7,8,12,14)",0.68352,0.88156
1714,"(4,5,6,9)",0.68362,0.88134
1715,"(2,5,7,11,13)",0.68358,0.88146
1716,"(1,4,6,7)",0.6823,0.88082
1717,"(3,4,7,10,11,12,14)",0.68288,0.8811
1718,"(4,7,9,12)",0.68374,0.88138
1719,"(0,1,5,6,9,12)",0.67636,0.8765
1720,"(1,3,4,6,7,8,9,10,11,13)",0.68158,0.88004
